Código Interno Transferência;Mês / Ano;Tipo Transferência;Tipo Favorecido;Uf;Código Município Siafi;Nome Município;Código Orgão Siafi;Nome Orgão;Código Unidade Gestora;Nome Unidade Gestora;Código Função;Nome Função;Código SubFunção;Nome SubFunção;Código Programa;Nome Programa;Ação Orçamentária;Nome Ação;Linguagem Cidadã;Código Grupo Despesa;Nome Grupo Despesa;Código Modalidade Aplicação Despesa;Nome Modalidade Aplicação Despesa;Código Elemento Despesa;Nome Elemento Despesa;Código Plano Orçamentário;Nome Plano Orçamentário;Código SubTítulo;Nome SubTítulo;Código Localizador;Nome Localizador;Sigla Localizador;Descrição Complementar Localizador;Código Favorecido;Nome Favorecido;Valor Transferência
2903067;202210;Legais Voluntárias e Específicas;Fundo Público;;;;;;;;;;;;;;219A;PISO DE ATENCAO PRIMARIA A SAUDE;Sem informação;;Outras Despesas Correntes;;Transferências a Municípios - Fundo a Fundo;;Contribuições;;;;;;;;;;;17944851
2903068;202210;Legais Voluntárias e Específicas;Fundo Público;;;;;;;;;;;;;;20AE;PROMOCAO DA ASSISTENCIA FARMACEUTICA E INSUMOS ESTRATEGICOS NA ATENCAO BASICA EM SAUDE;FARMÁCIA BÁSICA;;Outras Despesas Correntes;;Transferências a Municípios - Fundo a Fundo;;Contribuições;;;;;;;;;;;231912
2903069;202210;Legais Voluntárias e Específicas;Fundo Público;;;;;;;;;;;;;;20AE;PROMOCAO DA ASSISTENCIA FARMACEUTICA E INSUMOS ESTRATEGICOS NA ATENCAO BASICA EM SAUDE;FARMÁCIA BÁSICA;;Outras Despesas Correntes;;Transferências a Municípios - Fundo a Fundo;;Contribuições;;;;;;;;;;;1449450
2903070;202210;Legais Voluntárias e Específicas;Fundo Público;;;;;;;;;;;;;;20AL;APOIO AOS ESTADOS DISTRITO FEDERAL E MUNICIPIOS PARA A VIGILANCIA EM SAUDE;Vigilância em Saúde;;Outras Despesas Correntes;;Transferências a Municípios - Fundo a Fundo;;Contribuições;;;;;;;;;;;1212000
2903071;202210;Legais Voluntárias e Específicas;Fundo Público;;;;;;;;;;;;;;20AL;APOIO AOS ESTADOS DISTRITO FEDERAL E MUNICIPIOS PARA A VIGILANCIA EM SAUDE;Vigilância em Saúde;;Outras Despesas Correntes;;Transferências a Municípios - Fundo a Fundo;;Contribuições;;;;;;;;;;;1621042
2903072;202210;Legais Voluntárias e Específicas;Fundo Público;;;;;;;;;;;;;;20AB;INCENTIVO FINANCEIRO AOS ESTADOS DISTRITO FEDERAL E MUNICIPIOS PARA EXECUCAO DE ACOES DE VIGILANCIA;Vigilância Sanitária;;Outras Despesas Correntes;;Transferências a Municípios - Fundo a Fundo;;Contribuições;;;;;;;;;;;150705
79456;202210;Constitucionais e Royalties;Administração Pública Municipal;;;;;;;;;;;;;;0E36;COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO;FUNDEB;;Sem informação;;Sem informação;;Sem informação;;;;;;;;;;;56013622
79458;202210;Constitucionais e Royalties;Administração Pública Municipal;;;;;;;;;;;;;;099B;TRANSFERENCIA A ESTADOS DISTRITO FEDERAL E MUNICIPIOS PARA COMPENSACAO DA ISENCAO DO ICMS AOS ESTAD;Transferências - LC n.º 87/96 e 115/2003;;Sem informação;;Sem informação;;Sem informação;;;;;;;;;;;409757
79460;202210;Constitucionais e Royalties;Administração Pública Municipal;;;;;;;;;;;;;;0C33;TRANSFERENCIA AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFI;FUNDEB;;Sem informação;;Sem informação;;Sem informação;;;;;;;;;;;61871618
79462;202210;Constitucionais e Royalties;Administração Pública Municipal;;;;;;;;;;;;;;0045;TRANSFERENCIA AO FUNDO DE PARTICIPACAO DOS MUNICIPIOS - FPM (CF ART.159);FPM - CF art. 159;;Sem informação;;Sem informação;;Sem informação;;;;;;;;;;;198250315
79464;202210;Constitucionais e Royalties;Administração Pública Municipal;;;;;;;;;;;;;;0999;TRANSFERENCIA DE REPARTICAO DA CONTRIBUICAO DE INTERVENCAO NO DOMINIO ECONOMICO - CIDE COMBUSTIVEIS;CIDE - Combustíveis;;Sem informação;;Sem informação;;Sem informação;;;;;;;;;;;144779
79466;202210;Constitucionais e Royalties;Administração Pública Municipal;;;;;;;;;;;;;;006M;TRANSFERENCIA DO IMPOSTO TERRITORIAL RURAL - ITR;Transferência - ITR - Municípios;;Sem informação;;Sem informação;;Sem informação;;;;;;;;;;;495437
79468;202210;Constitucionais e Royalties;Administração Pública Municipal;;;;;;;;;;;;;;0A53;TRANSFERENCIAS DAS PARTICIPACOES PELA PRODUCAO DE PETROLEO E GAS NATURAL (LEI N. 9.478 DE 1997);Royalties;;Sem informação;;Sem informação;;Sem informação;;;;;;;;;;;7642653
80504;202210;Constitucionais e Royalties;Administração Pública Municipal;;;;;;;;;;;;;;0E36;COMPLEMENTACAO DA UNIAO AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO;FUNDEB;;Sem informação;;Sem informação;;Sem informação;;;;;;;;;;;56013622
80506;202210;Constitucionais e Royalties;Administração Pública Municipal;;;;;;;;;;;;;;099B;TRANSFERENCIA A ESTADOS DISTRITO FEDERAL E MUNICIPIOS PARA COMPENSACAO DA ISENCAO DO ICMS AOS ESTAD;Transferências - LC n.º 87/96 e 115/2003;;Sem informação;;Sem informação;;Sem informação;;;;;;;;;;;409757
80508;202210;Constitucionais e Royalties;Administração Pública Municipal;;;;;;;;;;;;;;0C33;TRANSFERENCIA AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFI;FUNDEB;;Sem informação;;Sem informação;;Sem informação;;;;;;;;;;;61871618
80510;202210;Constitucionais e Royalties;Administração Pública Municipal;;;;;;;;;;;;;;0045;TRANSFERENCIA AO FUNDO DE PARTICIPACAO DOS MUNICIPIOS - FPM (CF ART.159);FPM - CF art. 159;;Sem informação;;Sem informação;;Sem informação;;;;;;;;;;;198250315
80512;202210;Constitucionais e Royalties;Administração Pública Municipal;;;;;;;;;;;;;;0999;TRANSFERENCIA DE REPARTICAO DA CONTRIBUICAO DE INTERVENCAO NO DOMINIO ECONOMICO - CIDE COMBUSTIVEIS;CIDE - Combustíveis;;Sem informação;;Sem informação;;Sem informação;;;;;;;;;;;144779
80514;202210;Constitucionais e Royalties;Administração Pública Municipal;;;;;;;;;;;;;;006M;TRANSFERENCIA DO IMPOSTO TERRITORIAL RURAL - ITR;Transferência - ITR - Municípios;;Sem informação;;Sem informação;;Sem informação;;;;;;;;;;;495437
80516;202210;Constitucionais e Royalties;Administração Pública Municipal;;;;;;;;;;;;;;0A53;TRANSFERENCIAS DAS PARTICIPACOES PELA PRODUCAO DE PETROLEO E GAS NATURAL (LEI N. 9.478 DE 1997);Royalties;;Sem informação;;Sem informação;;Sem informação;;;;;;;;;;;7642653
84910;202210;Legais Voluntárias e Específicas;Administração Pública Municipal;;;;;;;;;;;;;;20ZV;FOMENTO AO SETOR AGROPECUARIO;Sem informação;;Outras Despesas Correntes;;Transferências a Municípios;;Contribuições;;;;;;;;;;;27676190
84912;202210;Legais Voluntárias e Específicas;Administração Pública Municipal;;;;;;;;;;;;;;00PI;APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE);Merenda Escolar;;Outras Despesas Correntes;;Transferências a Municípios;;Contribuições;;;;;;;;;;;1293780
84914;202210;Legais Voluntárias e Específicas;Administração Pública Municipal;;;;;;;;;;;;;;00PI;APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE);Merenda Escolar;;Outras Despesas Correntes;;Transferências a Municípios;;Contribuições;;;;;;;;;;;2509280
84916;202210;Legais Voluntárias e Específicas;Administração Pública Municipal;;;;;;;;;;;;;;0969;APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA;PNATE;;Outras Despesas Correntes;;Transferências a Municípios;;Contribuições;;;;;;;;;;;412631
83856;202210;Legais Voluntárias e Específicas;Administração Pública Municipal;;;;;;;;;;;;;;20ZV;FOMENTO AO SETOR AGROPECUARIO;Sem informação;;Outras Despesas Correntes;;Transferências a Municípios;;Contribuições;;;;;;;;;;;27676190
83858;202210;Legais Voluntárias e Específicas;Administração Pública Municipal;;;;;;;;;;;;;;00PI;APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE);Merenda Escolar;;Outras Despesas Correntes;;Transferências a Municípios;;Contribuições;;;;;;;;;;;1293780
83860;202210;Legais Voluntárias e Específicas;Administração Pública Municipal;;;;;;;;;;;;;;00PI;APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE);Merenda Escolar;;Outras Despesas Correntes;;Transferências a Municípios;;Contribuições;;;;;;;;;;;2509280
83862;202210;Legais Voluntárias e Específicas;Administração Pública Municipal;;;;;;;;;;;;;;0969;APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA;PNATE;;Outras Despesas Correntes;;Transferências a Municípios;;Contribuições;;;;;;;;;;;412631
92938;202210;Legais Voluntárias e Específicas;Fundo Público;;;;;;;;;;;;;;21DR;APOIO AOS ENTES FEDERADOS POR MEIO DO INDICE DE GESTAO DESCENTRALIZADA DO PROGRAMA AUXILIO BRASIL - ;Sem informação;;Outras Despesas Correntes;;TRANSFERENCIAS A MUNICIPIOS - FUNDO A FUNDO;;Contribuições;;;;;;;;;;;1128281
92940;202210;Legais Voluntárias e Específicas;Fundo Público;;;;;;;;;;;;;;219E;ACOES DE PROTECAO SOCIAL BASICA;Sem informação;;Outras Despesas Correntes;;TRANSFERENCIAS A MUNICIPIOS - FUNDO A FUNDO;;Contribuições;;;;;;;;;;;926986
92942;202210;Legais Voluntárias e Específicas;Fundo Público;;;;;;;;;;;;;;219F;ACOES DE PROTECAO SOCIAL ESPECIAL;Sem informação;;Outras Despesas Correntes;;TRANSFERENCIAS A MUNICIPIOS - FUNDO A FUNDO;;Contribuições;;;;;;;;;;;278700
92944;202210;Legais Voluntárias e Específicas;Fundo Público;;;;;;;;;;;;;;8585;ATENCAO A SAUDE DA POPULACAO PARA PROCEDIMENTOS EM MEDIA E ALTA COMPLEXIDADE;TETO MAC;;Outras Despesas Correntes;;TRANSFERENCIAS A MUNICIPIOS - FUNDO A FUNDO;;Contribuições;;;;;;;;;;;9677359
92946;202210;Legais Voluntárias e Específicas;Fundo Público;;;;;;;;;;;;;;219A;PISO DE ATENCAO PRIMARIA A SAUDE;Sem informação;;Outras Despesas Correntes;;TRANSFERENCIAS A MUNICIPIOS - FUNDO A FUNDO;;Contribuições;;;;;;;;;;;866040
92948;202210;Legais Voluntárias e Específicas;Fundo Público;;;;;;;;;;;;;;219A;PISO DE ATENCAO PRIMARIA A SAUDE;Sem informação;;Outras Despesas Correntes;;TRANSFERENCIAS A MUNICIPIOS - FUNDO A FUNDO;;Contribuições;;;;;;;;;;;2323288
92950;202210;Legais Voluntárias e Específicas;Fundo Público;;;;;;;;;;;;;;219A;PISO DE ATENCAO PRIMARIA A SAUDE;Sem informação;;Outras Despesas Correntes;;TRANSFERENCIAS A MUNICIPIOS - FUNDO A FUNDO;;Contribuições;;;;;;;;;;;16968000
92952;202210;Legais Voluntárias e Específicas;Fundo Público;;;;;;;;;;;;;;219A;PISO DE ATENCAO PRIMARIA A SAUDE;Sem informação;;Outras Despesas Correntes;;TRANSFERENCIAS A MUNICIPIOS - FUNDO A FUNDO;;Contribuições;;;;;;;;;;;17944851
92955;202210;Legais Voluntárias e Específicas;Fundo Público;;;;;;;;;;;;;;20AE;PROMOCAO DA ASSISTENCIA FARMACEUTICA E INSUMOS ESTRATEGICOS NA ATENCAO BASICA EM SAUDE;FARMÁCIA BÁSICA;;Outras Despesas Correntes;;TRANSFERENCIAS A MUNICIPIOS - FUNDO A FUNDO;;Contribuições;;;;;;;;;;;231912
92956;202210;Legais Voluntárias e Específicas;Fundo Público;;;;;;;;;;;;;;20AE;PROMOCAO DA ASSISTENCIA FARMACEUTICA E INSUMOS ESTRATEGICOS NA ATENCAO BASICA EM SAUDE;FARMÁCIA BÁSICA;;Outras Despesas Correntes;;TRANSFERENCIAS A MUNICIPIOS - FUNDO A FUNDO;;Contribuições;;;;;;;;;;;1449450
92958;202210;Legais Voluntárias e Específicas;Fundo Público;;;;;;;;;;;;;;20AL;APOIO AOS ESTADOS DISTRITO FEDERAL E MUNICIPIOS PARA A VIGILANCIA EM SAUDE;Vigilância em Saúde;;Outras Despesas Correntes;;TRANSFERENCIAS A MUNICIPIOS - FUNDO A FUNDO;;Contribuições;;;;;;;;;;;1212000
92961;202210;Legais Voluntárias e Específicas;Fundo Público;;;;;;;;;;;;;;20AL;APOIO AOS ESTADOS DISTRITO FEDERAL E MUNICIPIOS PARA A VIGILANCIA EM SAUDE;Vigilância em Saúde;;Outras Despesas Correntes;;TRANSFERENCIAS A MUNICIPIOS - FUNDO A FUNDO;;Contribuições;;;;;;;;;;;1621042
92963;202210;Legais Voluntárias e Específicas;Fundo Público;;;;;;;;;;;;;;20AB;INCENTIVO FINANCEIRO AOS ESTADOS DISTRITO FEDERAL E MUNICIPIOS PARA EXECUCAO DE ACOES DE VIGILANCIA;Vigilância Sanitária;;Outras Despesas Correntes;;TRANSFERENCIAS A MUNICIPIOS - FUNDO A FUNDO;;Contribuições;;;;;;;;;;;150705
93996;202210;Legais Voluntárias e Específicas;Fundo Público;;;;;;;;;;;;;;21DR;APOIO AOS ENTES FEDERADOS POR MEIO DO INDICE DE GESTAO DESCENTRALIZADA DO PROGRAMA AUXILIO BRASIL - ;Sem informação;;Outras Despesas Correntes;;TRANSFERENCIAS A MUNICIPIOS - FUNDO A FUNDO;;Contribuições;;;;;;;;;;;1128281
93998;202210;Legais Voluntárias e Específicas;Fundo Público;;;;;;;;;;;;;;219E;ACOES DE PROTECAO SOCIAL BASICA;Sem informação;;Outras Despesas Correntes;;TRANSFERENCIAS A MUNICIPIOS - FUNDO A FUNDO;;Contribuições;;;;;;;;;;;926986
94000;202210;Legais Voluntárias e Específicas;Fundo Público;;;;;;;;;;;;;;219F;ACOES DE PROTECAO SOCIAL ESPECIAL;Sem informação;;Outras Despesas Correntes;;TRANSFERENCIAS A MUNICIPIOS - FUNDO A FUNDO;;Contribuições;;;;;;;;;;;278700
94002;202210;Legais Voluntárias e Específicas;Fundo Público;;;;;;;;;;;;;;8585;ATENCAO A SAUDE DA POPULACAO PARA PROCEDIMENTOS EM MEDIA E ALTA COMPLEXIDADE;TETO MAC;;Outras Despesas Correntes;;TRANSFERENCIAS A MUNICIPIOS - FUNDO A FUNDO;;Contribuições;;;;;;;;;;;9677359
94004;202210;Legais Voluntárias e Específicas;Fundo Público;;;;;;;;;;;;;;219A;PISO DE ATENCAO PRIMARIA A SAUDE;Sem informação;;Outras Despesas Correntes;;TRANSFERENCIAS A MUNICIPIOS - FUNDO A FUNDO;;Contribuições;;;;;;;;;;;866040
94006;202210;Legais Voluntárias e Específicas;Fundo Público;;;;;;;;;;;;;;219A;PISO DE ATENCAO PRIMARIA A SAUDE;Sem informação;;Outras Despesas Correntes;;TRANSFERENCIAS A MUNICIPIOS - FUNDO A FUNDO;;Contribuições;;;;;;;;;;;2323288
94008;202210;Legais Voluntárias e Específicas;Fundo Público;;;;;;;;;;;;;;219A;PISO DE ATENCAO PRIMARIA A SAUDE;Sem informação;;Outras Despesas Correntes;;TRANSFERENCIAS A MUNICIPIOS - FUNDO A FUNDO;;Contribuições;;;;;;;;;;;16968000
94010;202210;Legais Voluntárias e Específicas;Fundo Público;;;;;;;;;;;;;;219A;PISO DE ATENCAO PRIMARIA A SAUDE;Sem informação;;Outras Despesas Correntes;;TRANSFERENCIAS A MUNICIPIOS - FUNDO A FUNDO;;Contribuições;;;;;;;;;;;17944851
94012;202210;Legais Voluntárias e Específicas;Fundo Público;;;;;;;;;;;;;;20AE;PROMOCAO DA ASSISTENCIA FARMACEUTICA E INSUMOS ESTRATEGICOS NA ATENCAO BASICA EM SAUDE;FARMÁCIA BÁSICA;;Outras Despesas Correntes;;TRANSFERENCIAS A MUNICIPIOS - FUNDO A FUNDO;;Contribuições;;;;;;;;;;;231912
94014;202210;Legais Voluntárias e Específicas;Fundo Público;;;;;;;;;;;;;;20AE;PROMOCAO DA ASSISTENCIA FARMACEUTICA E INSUMOS ESTRATEGICOS NA ATENCAO BASICA EM SAUDE;FARMÁCIA BÁSICA;;Outras Despesas Correntes;;TRANSFERENCIAS A MUNICIPIOS - FUNDO A FUNDO;;Contribuições;;;;;;;;;;;1449450
94016;202210;Legais Voluntárias e Específicas;Fundo Público;;;;;;;;;;;;;;20AL;APOIO AOS ESTADOS DISTRITO FEDERAL E MUNICIPIOS PARA A VIGILANCIA EM SAUDE;Vigilância em Saúde;;Outras Despesas Correntes;;TRANSFERENCIAS A MUNICIPIOS - FUNDO A FUNDO;;Contribuições;;;;;;;;;;;1212000
94017;202210;Legais Voluntárias e Específicas;Fundo Público;;;;;;;;;;;;;;20AL;APOIO AOS ESTADOS DISTRITO FEDERAL E MUNICIPIOS PARA A VIGILANCIA EM SAUDE;Vigilância em Saúde;;Outras Despesas Correntes;;TRANSFERENCIAS A MUNICIPIOS - FUNDO A FUNDO;;Contribuições;;;;;;;;;;;1621042
94019;202210;Legais Voluntárias e Específicas;Fundo Público;;;;;;;;;;;;;;20AB;INCENTIVO FINANCEIRO AOS ESTADOS DISTRITO FEDERAL E MUNICIPIOS PARA EXECUCAO DE ACOES DE VIGILANCIA;Vigilância Sanitária;;Outras Despesas Correntes;;TRANSFERENCIAS A MUNICIPIOS - FUNDO A FUNDO;;Contribuições;;;;;;;;;;;150705
2887723;202209;Constitucionais e Royalties;Administração Pública Municipal;;;;;;;;;;;;;;099B;TRANSFERENCIA A ESTADOS DISTRITO FEDERAL E MUNICIPIOS PARA COMPENSACAO DA ISENCAO DO ICMS AOS ESTAD;Transferências - LC n.º 87/96 e 115/2003;;Sem informação;;Sem informação;;Sem informação;;;;;;;;;;;409757
2887724;202209;Constitucionais e Royalties;Administração Pública Municipal;;;;;;;;;;;;;;0C33;TRANSFERENCIA AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFI;FUNDEB;;Sem informação;;Sem informação;;Sem informação;;;;;;;;;;;57179999
2887725;202209;Constitucionais e Royalties;Administração Pública Municipal;;;;;;;;;;;;;;0045;TRANSFERENCIA AO FUNDO DE PARTICIPACAO DOS MUNICIPIOS - FPM (CF ART.159);FPM - CF art. 159;;Sem informação;;Sem informação;;Sem informação;;;;;;;;;;;213466002
2887726;202209;Constitucionais e Royalties;Administração Pública Municipal;;;;;;;;;;;;;;006M;TRANSFERENCIA DO IMPOSTO TERRITORIAL RURAL - ITR;Transferência - ITR - Municípios;;Sem informação;;Sem informação;;Sem informação;;;;;;;;;;;171015
2887727;202209;Constitucionais e Royalties;Administração Pública Municipal;;;;;;;;;;;;;;0A53;TRANSFERENCIAS DAS PARTICIPACOES PELA PRODUCAO DE PETROLEO E GAS NATURAL (LEI N. 9.478 DE 1997);Royalties;;Sem informação;;Sem informação;;Sem informação;;;;;;;;;;;8229181
2889309;202209;Legais Voluntárias e Específicas;Administração Pública Municipal;;;;;;;;;;;;;;00PI;APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE);Merenda Escolar;;Outras Despesas Correntes;;Transferências a Municípios;;Contribuições;;;;;;;;;;;1293780
2889310;202209;Legais Voluntárias e Específicas;Administração Pública Municipal;;;;;;;;;;;;;;00PI;APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE);Merenda Escolar;;Outras Despesas Correntes;;Transferências a Municípios;;Contribuições;;;;;;;;;;;2509280
2889311;202209;Legais Voluntárias e Específicas;Administração Pública Municipal;;;;;;;;;;;;;;0969;APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA;PNATE;;Outras Despesas Correntes;;Transferências a Municípios;;Contribuições;;;;;;;;;;;412631
2892867;202209;Legais Voluntárias e Específicas;Fundo Público;;;;;;;;;;;;;;21DR;APOIO AOS ENTES FEDERADOS POR MEIO DO INDICE DE GESTAO DESCENTRALIZADA DO PROGRAMA AUXILIO BRASIL - ;Sem informação;;Outras Despesas Correntes;;Transferências a Municípios - Fundo a Fundo;;Contribuições;;;;;;;;;;;978639
2892868;202209;Legais Voluntárias e Específicas;Fundo Público;;;;;;;;;;;;;;219F;ACOES DE PROTECAO SOCIAL ESPECIAL;Sem informação;;Outras Despesas Correntes;;Transferências a Municípios - Fundo a Fundo;;Contribuições;;;;;;;;;;;280019
2892869;202209;Legais Voluntárias e Específicas;Fundo Público;;;;;;;;;;;;;;8585;ATENCAO A SAUDE DA POPULACAO PARA PROCEDIMENTOS EM MEDIA E ALTA COMPLEXIDADE;TETO MAC;;Outras Despesas Correntes;;Transferências a Municípios - Fundo a Fundo;;Contribuições;;;;;;;;;;;9677359
2892870;202209;Legais Voluntárias e Específicas;Fundo Público;;;;;;;;;;;;;;219A;PISO DE ATENCAO PRIMARIA A SAUDE;Sem informação;;Outras Despesas Correntes;;Transferências a Municípios - Fundo a Fundo;;Contribuições;;;;;;;;;;;735900
2892871;202209;Legais Voluntárias e Específicas;Fundo Público;;;;;;;;;;;;;;219A;PISO DE ATENCAO PRIMARIA A SAUDE;Sem informação;;Outras Despesas Correntes;;Transferências a Municípios - Fundo a Fundo;;Contribuições;;;;;;;;;;;2347288
2892872;202209;Legais Voluntárias e Específicas;Fundo Público;;;;;;;;;;;;;;219A;PISO DE ATENCAO PRIMARIA A SAUDE;Sem informação;;Outras Despesas Correntes;;Transferências a Municípios - Fundo a Fundo;;Contribuições;;;;;;;;;;;16968000
2892873;202209;Legais Voluntárias e Específicas;Fundo Público;;;;;;;;;;;;;;219A;PISO DE ATENCAO PRIMARIA A SAUDE;Sem informação;;Outras Despesas Correntes;;Transferências a Municípios - Fundo a Fundo;;Contribuições;;;;;;;;;;;17852356
2892874;202209;Legais Voluntárias e Específicas;Fundo Público;;;;;;;;;;;;;;20AE;PROMOCAO DA ASSISTENCIA FARMACEUTICA E INSUMOS ESTRATEGICOS NA ATENCAO BASICA EM SAUDE;FARMÁCIA BÁSICA;;Outras Despesas Correntes;;Transferências a Municípios - Fundo a Fundo;;Contribuições;;;;;;;;;;;231912
2892875;202209;Legais Voluntárias e Específicas;Fundo Público;;;;;;;;;;;;;;20AE;PROMOCAO DA ASSISTENCIA FARMACEUTICA E INSUMOS ESTRATEGICOS NA ATENCAO BASICA EM SAUDE;FARMÁCIA BÁSICA;;Outras Despesas Correntes;;Transferências a Municípios - Fundo a Fundo;;Contribuições;;;;;;;;;;;1449450
2892876;202209;Legais Voluntárias e Específicas;Fundo Público;;;;;;;;;;;;;;20AL;APOIO AOS ESTADOS DISTRITO FEDERAL E MUNICIPIOS PARA A VIGILANCIA EM SAUDE;Vigilância em Saúde;;Outras Despesas Correntes;;Transferências a Municípios - Fundo a Fundo;;Contribuições;;;;;;;;;;;827062
2892877;202209;Legais Voluntárias e Específicas;Fundo Público;;;;;;;;;;;;;;20AL;APOIO AOS ESTADOS DISTRITO FEDERAL E MUNICIPIOS PARA A VIGILANCIA EM SAUDE;Vigilância em Saúde;;Outras Despesas Correntes;;Transferências a Municípios - Fundo a Fundo;;Contribuições;;;;;;;;;;;1212000
2892878;202209;Legais Voluntárias e Específicas;Fundo Público;;;;;;;;;;;;;;20AB;INCENTIVO FINANCEIRO AOS ESTADOS DISTRITO FEDERAL E MUNICIPIOS PARA EXECUCAO DE ACOES DE VIGILANCIA;Vigilância Sanitária;;Outras Despesas Correntes;;Transferências a Municípios - Fundo a Fundo;;Contribuições;;;;;;;;;;;452115
100906;202209;Constitucionais e Royalties;Administração Pública Municipal;;;;;;;;;;;;;;099B;TRANSFERENCIA A ESTADOS DISTRITO FEDERAL E MUNICIPIOS PARA COMPENSACAO DA ISENCAO DO ICMS AOS ESTAD;Transferências - LC n.º 87/96 e 115/2003;;Sem informação;;Sem informação;;Sem informação;;;;;;;;;;;409757
100907;202209;Constitucionais e Royalties;Administração Pública Municipal;;;;;;;;;;;;;;0C33;TRANSFERENCIA AO FUNDO DE MANUTENCAO E DESENVOLVIMENTO DA EDUCACAO BASICA E DE VALORIZACAO DOS PROFI;FUNDEB;;Sem informação;;Sem informação;;Sem informação;;;;;;;;;;;57179999
100908;202209;Constitucionais e Royalties;Administração Pública Municipal;;;;;;;;;;;;;;0045;TRANSFERENCIA AO FUNDO DE PARTICIPACAO DOS MUNICIPIOS - FPM (CF ART.159);FPM - CF art. 159;;Sem informação;;Sem informação;;Sem informação;;;;;;;;;;;213466002
100909;202209;Constitucionais e Royalties;Administração Pública Municipal;;;;;;;;;;;;;;006M;TRANSFERENCIA DO IMPOSTO TERRITORIAL RURAL - ITR;Transferência - ITR - Municípios;;Sem informação;;Sem informação;;Sem informação;;;;;;;;;;;171015
100910;202209;Constitucionais e Royalties;Administração Pública Municipal;;;;;;;;;;;;;;0A53;TRANSFERENCIAS DAS PARTICIPACOES PELA PRODUCAO DE PETROLEO E GAS NATURAL (LEI N. 9.478 DE 1997);Royalties;;Sem informação;;Sem informação;;Sem informação;;;;;;;;;;;8229181
102736;202209;Legais Voluntárias e Específicas;Administração Pública Municipal;;;;;;;;;;;;;;00PI;APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE);Merenda Escolar;;Outras Despesas Correntes;;Transferências a Municípios;;Contribuições;;;;;;;;;;;1293780
102737;202209;Legais Voluntárias e Específicas;Administração Pública Municipal;;;;;;;;;;;;;;00PI;APOIO A ALIMENTACAO ESCOLAR NA EDUCACAO BASICA (PNAE);Merenda Escolar;;Outras Despesas Correntes;;Transferências a Municípios;;Contribuições;;;;;;;;;;;2509280
102738;202209;Legais Voluntárias e Específicas;Administração Pública Municipal;;;;;;;;;;;;;;0969;APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA;PNATE;;Outras Despesas Correntes;;Transferências a Municípios;;Contribuições;;;;;;;;;;;412631
106790;202209;Legais Voluntárias e Específicas;Fundo Público;;;;;;;;;;;;;;21DR;APOIO AOS ENTES FEDERADOS POR MEIO DO INDICE DE GESTAO DESCENTRALIZADA DO PROGRAMA AUXILIO BRASIL - ;Sem informação;;Outras Despesas Correntes;;TRANSFERENCIAS A MUNICIPIOS - FUNDO A FUNDO;;Contribuições;;;;;;;;;;;978639
106791;202209;Legais Voluntárias e Específicas;Fundo Público;;;;;;;;;;;;;;219F;ACOES DE PROTECAO SOCIAL ESPECIAL;Sem informação;;Outras Despesas Correntes;;TRANSFERENCIAS A MUNICIPIOS - FUNDO A FUNDO;;Contribuições;;;;;;;;;;;280019
106792;202209;Legais Voluntárias e Específicas;Fundo Público;;;;;;;;;;;;;;8585;ATENCAO A SAUDE DA POPULACAO PARA PROCEDIMENTOS EM MEDIA E ALTA COMPLEXIDADE;TETO MAC;;Outras Despesas Correntes;;TRANSFERENCIAS A MUNICIPIOS - FUNDO A FUNDO;;Contribuições;;;;;;;;;;;9677359
106793;202209;Legais Voluntárias e Específicas;Fundo Público;;;;;;;;;;;;;;219A;PISO DE ATENCAO PRIMARIA A SAUDE;Sem informação;;Outras Despesas Correntes;;TRANSFERENCIAS A MUNICIPIOS - FUNDO A FUNDO;;Contribuições;;;;;;;;;;;735900
106794;202209;Legais Voluntárias e Específicas;Fundo Público;;;;;;;;;;;;;;219A;PISO DE ATENCAO PRIMARIA A SAUDE;Sem informação;;Outras Despesas Correntes;;TRANSFERENCIAS A MUNICIPIOS - FUNDO A FUNDO;;Contribuições;;;;;;;;;;;2347288
